Model,R2,RMSE_mm_yr,MAE_mm_yr,Training_Time_s
Extra Trees,0.7096008525777289,2.1442904917137953,1.5369324463785723,1.1531929969787598
Random Forest,0.6810780200042561,2.247129893514495,1.628181712880547,5.67413592338562
