# FPR TPR
0.000000 0.020655
0.000000 0.020705
0.000000 0.021073
0.000000 0.021106
0.000000 0.021207
0.000000 0.021240
0.000000 0.021273
0.000000 0.021340
0.000000 0.021424
0.000000 0.021457
0.000000 0.021557
0.000000 0.021608
0.000000 0.021708
0.000000 0.021741
0.000000 0.021775
0.000000 0.021842
0.000000 0.022059
0.000000 0.022126
0.000000 0.022326
0.000000 0.022360
0.000000 0.022376
0.000000 0.022410
0.000000 0.022594
0.000000 0.022627
0.000000 0.022928
0.000000 0.022961
0.000000 0.023112
0.000000 0.023212
0.000000 0.023379
0.000000 0.023412
0.000000 0.023780
0.000000 0.023814
0.000000 0.023914
0.000000 0.023947
0.000000 0.024081
0.000000 0.024114
0.000000 0.024131
0.000000 0.024164
0.000000 0.024382
0.000000 0.024415
0.000000 0.024599
0.000000 0.024632
0.000000 0.025000
0.000000 0.025033
0.000000 0.025167
0.000000 0.025201
0.000000 0.025217
0.000000 0.025251
0.000000 0.025267
0.000000 0.025301
0.000000 0.025451
0.000000 0.025485
0.000000 0.025769
0.000000 0.025802
0.000000 0.025902
0.000000 0.025936
0.000000 0.025953
0.000000 0.025986
0.000000 0.026404
0.000000 0.026437
0.000000 0.026487
0.000000 0.026521
0.000000 0.026604
0.000000 0.026671
0.000000 0.026705
0.000000 0.026771
0.000000 0.026788
0.000000 0.026822
0.000000 0.027005
0.000000 0.027072
0.000000 0.027256
0.000000 0.027289
0.000000 0.027340
0.000000 0.027373
0.000000 0.027423
0.000000 0.027457
0.000000 0.027490
0.000000 0.027523
0.000000 0.027590
0.000000 0.027624
0.000000 0.027674
0.000000 0.027707
0.000000 0.027874
0.000000 0.027908
0.000000 0.027991
0.000000 0.028025
0.000000 0.028209
0.000000 0.028242
0.000000 0.028409
0.000000 0.028443
0.000000 0.028526
0.000000 0.028660
0.000000 0.028877
0.000000 0.028910
0.000000 0.029027
0.000000 0.029061
0.000000 0.029345
0.000000 0.029378
0.000000 0.029462
0.000000 0.029512
0.000000 0.029545
0.000000 0.029579
0.000000 0.029763
0.000000 0.029830
0.000000 0.029863
0.000000 0.029896
0.000000 0.030164
0.000000 0.030214
0.000000 0.030448
0.000000 0.030515
0.000000 0.030548
0.000000 0.030582
0.000000 0.030782
0.000000 0.030816
0.000000 0.030949
0.000000 0.030983
0.000000 0.031100
0.000000 0.031166
0.000000 0.031183
0.000000 0.031217
0.000000 0.031334
0.000000 0.031367
0.000000 0.031417
0.000000 0.031451
0.000000 0.031568
0.000000 0.031601
0.000000 0.032052
0.000000 0.032119
0.000000 0.032152
0.000000 0.032186
0.000000 0.032269
0.000000 0.032303
0.000000 0.032420
0.000000 0.032453
0.000000 0.032470
0.000000 0.032503
0.000000 0.032654
0.000000 0.032687
0.000000 0.032704
0.000000 0.032737
0.000000 0.032804
0.000000 0.032838
0.000000 0.032971
0.000000 0.033005
0.000000 0.033255
0.000000 0.033289
0.000000 0.033556
0.000000 0.033590
0.000000 0.033656
0.000000 0.033690
0.000000 0.033740
0.000000 0.033773
0.000000 0.033974
0.000000 0.034041
0.000000 0.034225
0.000000 0.034258
0.000000 0.034525
0.000000 0.034559
0.000000 0.034676
0.000000 0.034709
0.000000 0.034910
0.000000 0.034943
0.000000 0.034977
0.000000 0.035010
0.000000 0.035211
0.000000 0.035244
0.000000 0.035294
0.000000 0.035344
0.000000 0.035745
0.000000 0.035779
0.000000 0.035929
0.000000 0.035963
0.000000 0.035979
0.000000 0.036013
0.000000 0.036314
0.000000 0.036347
0.000000 0.036514
0.000000 0.036547
0.000000 0.036598
0.000000 0.036664
0.000000 0.036731
0.000000 0.036765
0.000000 0.036882
0.000000 0.036915
0.000000 0.037149
0.000000 0.037182
0.000000 0.037316
0.000000 0.037350
0.000000 0.037366
0.000000 0.037400
0.000000 0.037584
0.000000 0.037617
0.000000 0.037701
0.000000 0.037734
0.000000 0.037868
0.000000 0.037918
0.000000 0.037985
0.000000 0.038018
0.000000 0.038168
0.000000 0.038235
0.000000 0.038469
0.000000 0.038503
0.000000 0.038519
0.000000 0.038553
0.000000 0.038586
0.000000 0.038620
0.000000 0.038703
0.000000 0.038770
0.000000 0.038870
0.000000 0.038904
0.000000 0.038987
0.000000 0.039021
0.000000 0.039138
0.000000 0.039171
0.000000 0.039405
0.000000 0.039455
0.000000 0.039572
0.000000 0.039606
0.000000 0.039723
0.000000 0.039756
0.000000 0.039973
0.000000 0.040007
0.000000 0.040124
0.000000 0.040157
0.000000 0.040207
0.000000 0.040241
0.000000 0.040291
0.000000 0.040374
0.000000 0.040508
0.000000 0.040541
0.000000 0.040642
0.000000 0.040675
0.000000 0.040692
0.000000 0.040725
0.000000 0.040775
0.000000 0.040809
0.000000 0.041043
0.000000 0.041076
0.000000 0.041143
0.000000 0.041193
0.000000 0.041277
0.000000 0.041310
0.000000 0.041745
0.000000 0.041878
0.000000 0.041962
0.000000 0.041995
0.000000 0.042045
0.000000 0.042079
0.000000 0.042112
0.000000 0.042179
0.000000 0.042196
0.000000 0.042229
0.000000 0.042330
0.000000 0.042363
0.000000 0.042480
0.000000 0.042513
