# FPR TPR
0.000000 0.022644
0.000000 0.022811
0.000000 0.022844
0.000000 0.023379
0.000000 0.023412
0.000000 0.023596
0.000000 0.023630
0.000000 0.023747
0.000000 0.023780
0.000000 0.023797
0.000000 0.023830
0.000000 0.023847
0.000000 0.023914
0.000000 0.024064
0.000000 0.024131
0.000000 0.024432
0.000000 0.024465
0.000000 0.024499
0.000000 0.024532
0.000000 0.024599
0.000000 0.024649
0.000000 0.024666
0.000000 0.024699
0.000000 0.024783
0.000000 0.024816
0.000000 0.025084
0.000000 0.025117
0.000000 0.025284
0.000000 0.025318
0.000000 0.025334
0.000000 0.025401
0.000000 0.025518
0.000000 0.025551
0.000000 0.025953
0.000000 0.026003
0.000000 0.026019
0.000000 0.026053
0.000000 0.026103
0.000000 0.026136
0.000000 0.026270
0.000000 0.026303
0.000000 0.026437
0.000000 0.026471
0.000000 0.026504
0.000000 0.026537
0.000000 0.026571
0.000000 0.026604
0.000000 0.026638
0.000000 0.026671
0.000000 0.026705
0.000000 0.026738
0.000000 0.026771
0.000000 0.026805
0.000000 0.027055
0.000000 0.027089
0.000000 0.027273
0.000000 0.027306
0.000000 0.027373
0.000000 0.027406
0.000000 0.027807
0.000000 0.027841
0.000000 0.028025
0.000000 0.028058
0.000000 0.028275
0.000000 0.028309
0.000000 0.028326
0.000000 0.028359
0.000000 0.028376
0.000000 0.028443
0.000000 0.028493
0.000000 0.028526
0.000000 0.028559
0.000000 0.028593
0.000000 0.028827
0.000000 0.028860
0.000000 0.029027
0.000000 0.029061
0.000000 0.029529
0.000000 0.029579
0.000000 0.029629
0.000000 0.029662
0.000000 0.029763
0.000000 0.029796
0.000000 0.029930
0.000000 0.029963
0.000000 0.029980
0.000000 0.030013
0.000000 0.030030
0.000000 0.030064
0.000000 0.030197
0.000000 0.030231
0.000000 0.030247
0.000000 0.030314
0.000000 0.030515
0.000000 0.030548
0.000000 0.030582
0.000000 0.030615
0.000000 0.030665
0.000000 0.030699
0.000000 0.030715
0.000000 0.030749
0.000000 0.030765
0.000000 0.030799
0.000000 0.030816
0.000000 0.030849
0.000000 0.031451
0.000000 0.031484
0.000000 0.031568
0.000000 0.031634
0.000000 0.031735
0.000000 0.031768
0.000000 0.032152
0.000000 0.032186
0.000000 0.032520
0.000000 0.032553
0.000000 0.032854
0.000000 0.032888
0.000000 0.032971
0.000000 0.033038
0.000000 0.033372
0.000000 0.033406
0.000000 0.033439
0.000000 0.033473
0.000000 0.033506
0.000000 0.033539
0.000000 0.033606
0.000000 0.033640
0.000000 0.033840
0.000000 0.033874
0.000000 0.033890
0.000000 0.033924
0.000000 0.033991
0.000000 0.034024
0.000000 0.034158
0.000000 0.034191
0.000000 0.034392
0.000000 0.034425
0.000000 0.034642
0.000000 0.034693
0.000000 0.034759
0.000000 0.034793
0.000000 0.034893
0.000000 0.034926
0.000000 0.035094
0.000000 0.035127
0.000000 0.035144
0.000000 0.035177
0.000000 0.035244
0.000000 0.035277
0.000000 0.035344
0.000000 0.035411
0.000000 0.035561
0.000000 0.035595
